SchoolName,SchoolID,Address,City,State,Zip,Lat,Lon
Daleville,176,8400 S Bronco Dr,Daleville,IN,47334,40.1180879534728,-85.5551106955807
Elwood Community,177,1137 N 19th St,Elwood,IN,46036,40.2885012696918,-85.8366402319721
Frankton,178,610 E Clyde St,Frankton,IN,46044,40.2197171325916,-85.7737968965517
Lapel,179,1850 S 900 W,Lapel,IN,46051,40.0604,-85.8363
Liberty Christian,180,2323 Columbus Ave,Anderson,IN,46016,40.0930074622395,-85.6671954541163
Mt Vernon (Fortville),181,8112 N 200 W,Fortville,IN,46040,39.9003807430363,-85.8433935428335
Pendleton Heights,182,1 Arabian Dr,Pendleton,IN,46064,39.9967748827756,-85.7369892398093
Shenandoah,183,7354 US-36,Middletown,IN,47356,40.0047187079983,-85.5254226572572
Yorktown,184,1100 S Tiger Dr,Yorktown,IN,47396,40.1832968020473,-85.4948895055438
Cowan,185,9401 S Nottingham St,Muncie,IN,47302,40.1059929804391,-85.3925392501513
Delta,186,3400 IN-28,Muncie,IN,47303,40.2774183407094,-85.3475790654103
Jay County,187,2072 IN-67,Portland,IN,47371,40.4305998989879,-85.0203368498591
Monroe Central,188,1878 N 1000 W,Parker City,IN,47368,40.191523387268,-85.1661595184125
Muncie Burris,189,2201 W University Ave,Muncie,IN,47303,40.1974973161715,-85.4122385751701
Muncie Central,190,801 N Walnut St,Muncie,IN,47305,40.2012727980417,-85.3864695068473
Randolph Southern,191,3 Rebel Dr,Lynn,IN,47355,40.0526464060935,-84.9466550219777
Union (Modoc),192,8707 US-36,Modoc,IN,47358,40.0479728674084,-85.1402004761905
Union City,193,603 N Walnut St,Union City,IN,47390,40.2047003414347,-84.8145944028345
Wapahani,194,10401 E Co Rd 167 S,Selma,IN,47383,40.1684625785907,-85.2643434059629
Wes-Del,195,10000 N 600 W,Gaston,IN,47342,40.2795378417878,-85.5005680049388
Winchester Community,196,700 N Union St,Winchester,IN,47394,40.1804085261983,-84.9759087086429
Avon,197,7575 E County Rd 150 S,Avon,IN,46123,39.7407628799279,-86.3887175902384
Bethesda Christian,198,7950 N County Rd 650 E,Brownsburg,IN,46112,39.8790645511447,-86.4115318395027
Brownsburg,199,1000 S Odell St,Brownsburg,IN,46112,39.8303858463736,-86.3872984891637
Cascade,200,6565 S County Rd 200 W,Clayton,IN,46118,39.6658789620783,-86.5599452892791
Cloverdale,201,205 Market St,Cloverdale,IN,46120,39.5117562662076,-86.7928049936346
Danville Community,202,100 Warrior Way,Danville,IN,46122,39.75422150145,-86.5408556891164
Greencastle,203,910 E Washington St,Greencastle,IN,46135,39.6438367456332,-86.8439374970437
North Putnam,204,8869 N County Road 250 E,Roachdale,IN,46172,39.789319202345,-86.8023986702424
Plainfield,205,1 Red Pride Drive,Plainfield,IN,46168,39.68203,-86.3766881868724
South Putnam,206,1780 US-40,Greencastle,IN,46135,39.5846634834703,-86.8180072561007
Tri-West Hendricks,207,7883 IN-39,Lizton,IN,46149,39.8771894117647,-86.5432413070958
Ben Davis,208,1200 N Girls School Rd,Indianapolis,IN,46214,39.7828499863082,-86.2886808283679
Covenant Christian (Indianapolis),209,7525 W 21st St,Indianapolis,IN,46214,39.7936228984373,-86.2950462035056
Decatur Central,210,5251 Kentucky Ave,Indianapolis,IN,46221,39.6880463171848,-86.2778802531483
Herron,211,110 E 16th St,Indianapolis,IN,46202,39.7885670897578,-86.155454460169
Indiana Math & Science Academy,212,7435 N Keystone Ave,Indianapolis,IN,46240,39.8894727412345,-86.1217208360044
Indianapolis Crispus Attucks,213,1140 Doctor M L K Jr St,Indianapolis,IN,46202,39.78355,-86.16371
Indianapolis Northwest,214,5525 W 34th St,Indianapolis,IN,46224,39.8163106274407,-86.2567538404662
Indianapolis Shortridge,215,3401 N Meridian St,Indianapolis,IN,46208,39.81745,-86.15659146252
International School of Indiana,216,4330 N Michigan Rd,Indianapolis,IN,46208,39.832964575964,-86.1849633427211
Pike,217,5401 W 71st St,Indianapolis,IN,46268,39.8817067379652,-86.2540927826598
Providence Cristo Rey,218,75 N Belleview Pl,Indianapolis,IN,46222,39.7671536734437,-86.2027282452226
Speedway,219,5357 W 25th St,Speedway,IN,46224,39.8016810618498,-86.2561623165164
Zionsville,220,1000 Mulberry St,Zionsville,IN,46077,39.9617294204334,-86.2717511862786
Carmel,221,520 E Main St,Carmel,IN,46032,39.9785942997293,-86.1203980356573
Fishers,222,13000 Promise Rd,Fishers,IN,46038,39.9778030127991,-85.9705168645478
Guerin Catholic,223,15300 Gray Rd,Noblesville,IN,46062,40.0112359566591,-86.0895111256386
Hamilton Heights,224,25802 State Rte 19,Arcadia,IN,46030,40.1655941507957,-86.0132966518005
Hamilton Southeastern,225,13910 E 126th St,Fishers,IN,46037,39.9725871325916,-85.9157002222897
Lebanon,226,510 Tiger Way,Lebanon,IN,46052,40.04438,-86.46009
Noblesville,227,18111 Cumberland Rd,Noblesville,IN,46060,40.0512419986725,-85.9959083781534
Sheridan,228,24185 Hinesley Rd,Sheridan,IN,46069,40.139839352974,-86.2181343845923
Tindley,229,3960 Meadows Dr,Indianapolis,IN,46205,39.8281171481396,-86.1131117025187
Tipton,230,619 S Main St,Tipton,IN,46072,40.27444,-86.040920261654
University,231,2825 W 116th St,Carmel,IN,46032,39.9554928674084,-86.2122
Westfield,232,18250 N Union St,Westfield,IN,46074,40.0548976083807,-86.1278580141749
Brebeuf Jesuit Preparatory,233,2801 W 86th St,Indianapolis,IN,46268,39.9116528805416,-86.2095850257348
Heritage Christian,234,6401 E 75th St,Indianapolis,IN,46250,39.8904979547818,-86.0576936209387
Indiana School for the Deaf,235,1200 E 42nd St,Indianapolis,IN,46205,39.8328387464081,-86.1388999557052
Indianapolis Arlington,236,4825 N Arlington Ave,Indianapolis,IN,46226,39.8438664708867,-86.0648060759752
Indianapolis Arsenal Technical,237,1500 E Michigan St,Indianapolis,IN,46202,39.7744271252292,-86.1334318488731
Indianapolis Bishop Chatard,238,5885 Crittenden Ave,Indianapolis,IN,46220,39.8613843283453,-86.128001437273
Indianapolis Cardinal Ritter,239,3360 W 30th St,Indianapolis,IN,46222,39.8098571325916,-86.2152033333333
Indianapolis Cathedral,240,5225 E 56th St,Indianapolis,IN,46226,39.8548528927587,-86.0801365653517
Lawrence Central,241,7300 E 56th St,Indianapolis,IN,46226,39.8551971325916,-86.04053
Lawrence North,242,7802 Hague Rd,Indianapolis,IN,46256,39.8972141304348,-86.0331787451067
North Central (Indianapolis),243,1801 E 86th St,Indianapolis,IN,46240,39.9123228689631,-86.1279308513453
Park Tudor,244,7200 N College Ave,Indianapolis,IN,46240,39.88542,-86.1460087143543
Beech Grove,245,5330 Hornet Ave,Beech Grove,IN,46107,39.7113869773764,-86.0779984790909
Eastern Hancock,246,10320 250N,Charlottesville,IN,46117,39.8228945859744,-85.6125287861203
Franklin Central,247,6215 S Franklin Rd,Indianapolis,IN,46259,39.6773981415929,-86.0184318250777
Greenfield-Central,248,810 N Broadway St,Greenfield,IN,46140,39.7924691666667,-85.7796084726249
Indianapolis Emmerich Manual,249,2405 Madison Ave,Indianapolis,IN,46225,39.734265207529,-86.1538839246411
Indianapolis Lutheran,250,5555 S Arlington Ave,Indianapolis,IN,46237,39.68685,-86.0633618006891
Indianapolis Scecina Memorial,251,5000 Nowland Ave,Indianapolis,IN,46201,39.7866371325916,-86.08603
Lighthouse Charter South,252,1780 Sloan Ave,Indianapolis,IN,46203,39.7429018841548,-86.0877170481362
Morristown,253,223 S Patterson St,Morristown,IN,46161,39.6723735757734,-85.7009500344162
New Palestine,254,4485 S Victory Dr,New Palestine,IN,46163,39.7187783342286,-85.8912997748761
Roncalli,255,3300 Prague Rd,Indianapolis,IN,46227,39.6903132139528,-86.1089203785331
